Date,Coal,Petroleum liquids,Petroleum coke,Natural gas,Nuclear,Conventional hydroelectric
Dec-16,47359,1419,261,346904,37268,20799
Jan-17,47008,1422,301,341450,38425,24538
Feb-17,35705,1146,218,295336,33911,21937
Mar-17,35893,1346,215,354767,34693,27285
Apr-17,31624,1176,110,334851,30217,26825
May-17,37582,1288,265,377189,31728,29918
Jun-17,43955,1301,283,438443,35022,28240
Jul-17,52225,1183,272,556028,37874,24415
Aug-17,49209,1263,228,520120,38667,20221
Sep-17,39596,1208,211,435863,35496,17664
Oct-17,36413,1329,172,388175,35038,16270
Nov-17,36042,1187,235,343343,34541,17894
Dec-17,41940,1790,233,408068,38871,20469
Jan-18,47999,4527,297,430221,39366,23106
Feb-18,34219,1122,235,367620,33941,22864
Mar-18,32513,1099,199,400399,35262,23638
Apr-18,30538,1172,195,376300,30580,25598
May-18,35435,1343,141,463895,34479,28055
Jun-18,42687,1383,270,524974,36437,25778
Jul-18,48467,1219,285,645124,38293,23303
Aug-18,48047,1298,273,611046,38885,20050
Sep-18,40475,1407,260,535085,34377,17368
Oct-18,35706,1373,159,460419,31364,17571
Nov-18,38129,1284,196,398836,33043,19630
Dec-18,41670,1220,242,389505,38223,20373
Jan-19,41504,1691,260,446364,39806,22391
Feb-19,33539,1108,224,416656,34243,20610
Mar-19,31855,1164,194,436004,34213,23839
Apr-19,24636,1049,110,402826,32063,25266
May-19,30408,1311,220,462774,35416,29266
Jun-19,33720,1372,152,543144,36847,25767
Jul-19,42490,1332,230,662656,39023,22846
Aug-19,39931,1478,203,681637,39218,20913
Sep-19,35621,1310,185,577303,34770,17045
Oct-19,27323,1309,65,497666,32289,16625
Nov-19,30628,1231,102,427094,32923,18467
Dec-19,29953,1393,139,469200,39861,19330
Jan-20,27497,1445,205,508973,40721,22509
Feb-20,23845,1151,148,482717,36079,23948
Mar-20,21823,965,211,490399,35133,21612
Apr-20,17118,883,182,432222,32827,20901
May-20,19941,1019,187,468847,34392,27694
Jun-20,27899,1194,258,563573,36388,26532
Jul-20,38421,1301,261,708738,37583,25226
Aug-20,39078,1290,237,670087,37544,21967
Sep-20,29774,1109,117,528997,36043,17567
Oct-20,25061,1263,83,505328,31641,17451
Nov-20,24746,1121,159,410077,32605,19456
Dec-20,31784,1231,228,473220,37995,19787
Jan-21,33381,1380,212,455887,39472,22459
Feb-21,36381,2320,224,408270,34339,18612
Mar-21,25817,1183,204,400861,35325,18971
Apr-21,22591,1195,107,411897,30126,17256
May-21,27108,1207,148,436804,33491,21178
Jun-21,36328,1295,149,580307,36854,21827
Jul-21,42314,1246,220,658825,38371,20109
Aug-21,42612,1757,245,661843,38752,18598
Sep-21,33753,1402,190,512711,35306,15289
Oct-21,25833,1323,204,477617,34522,15383
Nov-21,23627,1266,258,455865,34882,17373
Dec-21,25103,1355,183,464658,39244,21635
Jan-22,35728,2448,168,507070,39295,24187
Feb-22,28683,1297,188,421134,34300,20933
Mar-22,24262,1333,144,408697,34385,22978
Apr-22,22108,1115,156,394532,30252,17546
May-22,26485,1304,214,489511,35037,21197
Jun-22,32034,1326,225,620465,36908,25057
Jul-22,38041,1417,178,748783,38888,22854
Aug-22,36431,1391,179,724032,38921,20211
Sep-22,28269,1446,211,580215,35914,15445
Oct-22,23441,1467,193,494888,32085,13359
Nov-22,23408,1397,184,480213,33612,17190
Dec-22,31682,4091,255,524065,38335,19767
Jan-23,27444,1496,116,507306,40507,20587
Feb-23,20112,1385,108,451898,34281,17524
Mar-23,21274,1388,75,488923,36091,18489
Apr-23,16158,1306,77,461358,33413,16133
May-23,18592,1409,76,544102,34877,25981
Jun-23,26327,1392,107,622573,37151,18414
